Tolerance,Jacobi-It,Gauss-It,Sor-It,Jacobi-Err,Gauss-Err,Sor-Err
0.01,119,183,100,4015.7,3542.42,207.183
0.001,705,719,287,3163.01,2642.21,4.73612
0.0001,2203,3907,390,2300.31,834.237,0.640017
0.00001,10582,7749,518,514.354,208.37,0.0401574
0.000001,15784,9774,592,200.884,100.038,0.0184611
0.0000001,16521,11098,1046,175.788,61.8953,0.00545286
0.00000001,20577,12353,2024,84.2927,39.2619,0.00592994
0.000000001,22830,15185,751499,56.0244,14.0559,0.00602986
0.0000000001,23268,27592,1225557,51.7466,0.38448,0.00668969
0.00000000001,23268,27709,1225557,51.7466,0.384355,0.00668969
